"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
7.583481680E-1,-1.050000042E-1,2.170500159E-1,9.934050560E0,9.936976212E0
7.633511730E-1,-1.120500043E-1,2.340000123E-1,9.931950569E0,9.935338611E0
7.683534040E-1,-1.260000020E-1,2.340000123E-1,9.922050476E0,9.925609183E0
7.733560960E-1,-1.120500043E-1,2.250000089E-1,9.943950653E0,9.947126962E0
7.783586350E-1,-9.495000541E-2,2.389500141E-1,9.931950569E0,9.935278291E0
7.833613460E-1,-9.795000404E-2,2.170500159E-1,9.922050476E0,9.924907585E0
7.883635000E-1,-9.300000221E-2,1.890000105E-1,9.924000740E0,9.926235978E0
7.933657120E-1,-9.795000404E-2,1.980000138E-1,9.903000832E0,9.905464334E0
7.983684040E-1,-1.099500060E-1,2.220000178E-1,9.910050392E0,9.913146412E0
8.033708510E-1,-1.360500008E-1,2.080500126E-1,9.924000740E0,9.927113634E0
8.083730810E-1,-9.495000541E-2,2.220000178E-1,9.916950226E0,9.919889177E0
8.133760520E-1,-1.170000061E-1,2.290500104E-1,9.901050568E0,9.904390706E0
8.183791290E-1,-1.000500023E-1,2.130000144E-1,9.924000740E0,9.926790503E0
8.233818980E-1,-1.309500039E-1,2.080500126E-1,9.927000046E0,9.930043435E0
8.283841290E-1,-1.099500060E-1,2.100000083E-1,9.891000748E0,9.893840751E0
8.333871240E-1,-1.069500074E-1,2.200500071E-1,9.922050476E0,9.925066547E0
8.383898940E-1,-1.360500008E-1,2.149500102E-1,9.928950310E0,9.932208584E0
8.433920520E-1,-1.000500023E-1,2.080500126E-1,9.931950569E0,9.934633205E0
8.483948990E-1,-1.120500043E-1,2.269500047E-1,9.928950310E0,9.932175782E0
8.533973510E-1,-1.099500060E-1,2.269500047E-1,9.927000046E0,9.930202678E0
8.583998130E-1,-1.120500043E-1,2.290500104E-1,9.939000130E0,9.942270500E0
8.634021770E-1,-1.170000061E-1,2.320500165E-1,9.928950310E0,9.932350702E0
8.684049470E-1,-1.099500060E-1,2.170500159E-1,9.931950569E0,9.934930388E0
8.734068700E-1,-1.170000061E-1,2.130000144E-1,9.903000832E0,9.905982207E0
8.784086300E-1,-1.219500080E-1,2.170500159E-1,9.931950569E0,9.935070439E0
8.834105530E-1,-1.099500060E-1,2.250000089E-1,9.955950737E0,9.959099813E0
8.884126300E-1,-1.050000042E-1,2.220000178E-1,9.934050560E0,9.937085566E0
8.934147890E-1,-9.300000221E-2,2.290500104E-1,9.924000740E0,9.927079308E0
8.984173270E-1,-1.170000061E-1,2.290500104E-1,9.924000740E0,9.927333156E0
9.034197850E-1,-1.140000075E-1,2.440500110E-1,9.936000824E0,9.939651341E0
9.084225540E-1,-1.170000061E-1,2.220000178E-1,9.928950310E0,9.932120985E0
9.134252600E-1,-1.069500074E-1,2.170500159E-1,9.952950478E0,9.955891332E0
9.184277220E-1,-1.020000055E-1,2.340000123E-1,9.924000740E0,9.927283148E0
9.234302600E-1,-1.050000042E-1,2.200500071E-1,9.927000046E0,9.929993802E0
9.284329530E-1,-1.069500074E-1,2.290500104E-1,9.927000046E0,9.930218131E0
9.334360400E-1,-1.260000020E-1,2.080500126E-1,9.936000824E0,9.938977472E0
9.384388860E-1,-1.170000061E-1,1.960500032E-1,9.916950226E0,9.919577934E0
9.434416690E-1,-1.140000075E-1,2.220000178E-1,9.940950394E0,9.944082398E0
9.484443610E-1,-1.120500043E-1,2.149500102E-1,9.915000916E0,9.917963595E0
9.534471120E-1,-1.069500074E-1,2.290500104E-1,9.924000740E0,9.927219797E0
9.584493420E-1,-1.219500080E-1,2.080500126E-1,9.928950310E0,9.931878516E0
9.634520350E-1,-1.309500039E-1,2.080500126E-1,9.912000656E0,9.915048649E0
9.684548860E-1,-1.069500074E-1,2.389500141E-1,9.940950394E0,9.944396922E0
9.734576550E-1,-1.290000081E-1,2.340000123E-1,9.916950226E0,9.920549319E0
9.784604190E-1,-1.099500060E-1,2.269500047E-1,9.934050560E0,9.937250919E0
9.834631120E-1,-1.020000055E-1,2.530499995E-1,9.940950394E0,9.944693712E0
9.884656500E-1,-1.099500060E-1,2.410500050E-1,9.936000824E0,9.939532508E0
9.934681210E-1,-9.795000404E-2,2.220000178E-1,9.919950485E0,9.922917708E0
9.984705050E-1,-1.050000042E-1,2.269500047E-1,9.910050392E0,9.913204834E0
1.003473261E0,-1.020000055E-1,2.010000050E-1,9.907950401E0,9.910513920E0
1.008476107E0,-1.120500043E-1,2.200500071E-1,9.919950485E0,9.923023473E0
1.013478794E0,-1.140000075E-1,2.269500047E-1,9.934050560E0,9.937296556E0
1.018481256E0,-1.069500074E-1,2.149500102E-1,9.919950485E0,9.922855408E0
1.023483717E0,-1.170000061E-1,2.269500047E-1,9.916950226E0,9.920236746E0
