"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
7.877800430E-1,-5.760499835E-2,-1.653599925E-2,1.639759988E-1,1.745849457E-1
7.927657980E-1,-3.036499955E-2,-3.011099994E-2,1.775960028E-1,1.826719621E-1
7.977516440E-1,-3.031400032E-2,-1.645099930E-2,2.048379928E-1,2.077213934E-1
8.027372600E-1,-2.847000025E-2,-2.679999918E-3,2.184710056E-1,2.203345265E-1
8.077233130E-1,-4.183200002E-2,1.099000033E-2,1.776130050E-1,1.828033804E-1
8.127088510E-1,-6.900899857E-2,-1.621199958E-2,1.639930010E-1,1.786582637E-1
8.176947110E-1,-6.899300218E-2,-2.553000115E-3,1.503739953E-1,1.654656781E-1
8.226805570E-1,-8.987499774E-2,-1.527999993E-2,2.049070001E-1,2.242718714E-1
8.276664040E-1,-3.458999842E-2,-1.524200011E-2,2.185339928E-1,2.217789272E-1
8.326520000E-1,-6.175800040E-2,-1.400999958E-3,2.321570069E-1,2.402350708E-1
8.376378460E-1,-4.802900180E-2,-1.501100045E-2,2.049169987E-1,2.110049562E-1
8.426236150E-1,-3.206000105E-2,-1.401999965E-3,1.776950061E-1,1.805694450E-1
8.476095570E-1,-4.527600110E-2,-1.318000024E-3,1.504579931E-1,1.571281678E-1
8.525950960E-1,-1.782800071E-2,-1.271000016E-3,1.640799940E-1,1.650505906E-1
8.575809370E-1,-1.761800051E-2,-1.276000054E-3,2.049420029E-1,2.057018392E-1
8.625667830E-1,-1.647800021E-2,1.141600031E-2,2.185640037E-1,2.194813734E-1
8.675526190E-1,-2.732000081E-3,2.492799982E-2,1.640830040E-1,1.659882562E-1
8.725384660E-1,1.102699991E-2,1.125399955E-2,1.096019968E-1,1.107286997E-1
8.775242350E-1,1.113000046E-2,-2.234000014E-3,1.096049994E-1,1.101913044E-1
8.825098550E-1,-1.502699964E-2,-1.970000099E-3,1.232350022E-1,1.241634301E-1
8.874959320E-1,-1.202999963E-3,-1.853000023E-3,8.237700164E-2,8.240662120E-2
8.924814710E-1,1.251200028E-2,1.186200045E-2,8.237899840E-2,8.416386744E-2
8.974673030E-1,1.260599960E-2,1.200199965E-2,8.238100260E-2,8.419969603E-2
9.024531490E-1,1.177799981E-2,1.121599972E-2,6.874699891E-2,7.064467275E-2
9.074389950E-1,3.900900111E-2,-2.552000107E-3,5.512600020E-2,6.758025429E-2
9.124248360E-1,2.542999946E-2,-1.619300060E-2,4.150599986E-2,5.129957276E-2
9.174104520E-1,2.555800043E-2,-2.493999898E-3,1.426700037E-2,2.937649947E-2
9.223962830E-1,1.126800012E-2,-2.289999975E-3,6.419999991E-4,1.151625332E-2
9.273821290E-1,1.121900044E-2,-2.329000039E-3,6.419999991E-4,1.147616557E-2
9.323678980E-1,2.477400005E-2,1.126699988E-2,-4.021999985E-2,4.856279185E-2
9.373535100E-1,3.836600110E-2,-2.277000109E-3,-2.659800090E-2,4.673958089E-2
9.423393560E-1,2.306099981E-2,-1.483500004E-2,4.149699956E-2,4.973819368E-2
9.473252020E-1,2.285099961E-2,-1.073000021E-3,1.425699983E-2,2.695517680E-2
9.523110480E-1,2.277600020E-2,-1.092000050E-3,6.350000040E-4,2.281100336E-2
9.572968940E-1,2.283599973E-2,1.254799962E-2,-2.660400048E-2,3.723852870E-2
9.622827410E-1,3.410400078E-2,1.179200038E-2,-2.662800066E-2,4.484623241E-2
9.672685100E-1,3.376999870E-2,1.177399978E-2,-1.300999988E-2,3.805653662E-2
9.722543560E-1,-2.075099945E-2,-1.777000027E-3,2.785000019E-2,3.477620189E-2
9.772399660E-1,-7.164999843E-3,-1.708999975E-3,4.146999866E-2,4.211910128E-2
9.822257360E-1,1.878499985E-2,2.392899990E-2,2.782700025E-2,4.122881514E-2
9.872115820E-1,-8.627999574E-3,2.380999923E-2,4.144600034E-2,4.857086970E-2
9.921974280E-1,-8.709999733E-3,-1.703899913E-2,8.230599761E-2,8.450129484E-2
9.971832740E-1,-3.585200012E-2,1.016000006E-2,8.230599761E-2,9.034859576E-2
1.002169105E0,-8.070000447E-3,9.355000220E-3,9.592500329E-2,9.671735725E-2
1.007154721E0,-8.042999543E-3,9.270999581E-3,9.592399746E-2,9.670602134E-2
